    t     |     event_type      | policy_decision |                                                    data_classes                                                     |   data_disposition    | enforcement_effect |   surface    | warned |                                                                           warn_reason                                                                           | severity 
 21:13:13 | PROMPT_REDACTED     | BLOCK           | ["stripe-live"]                                                                                                     | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:13:13 | PROMPT_REDACTED     | BLOCK           | ["slack-token"]                                                                                                     | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:13:13 | PROMPT_BLOCKED      | BLOCK           | ["private-key"]                                                                                                     | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | critical
 21:13:13 | PROMPT_BLOCKED      | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | deny-prompt        | cli          | f      |                                                                                                                                                                 | high
 21:13:41 | PROMPT_BLOCKED      | BLOCK           | ["aws-access-key", "aws-credential-pair"]                                                                           | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:13:42 | PROMPT_REDACTED     | ALLOW           | ["stripe-live"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:13:43 | PROMPT_REDACTED     | ALLOW           | ["slack-token"]                                                                                                     | REDACTED_THEN_SENT    | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:13:43 | PROMPT_BLOCKED      | BLOCK           | ["private-key"]                                                                                                     | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | critical
 21:13:44 | PROMPT_BLOCKED      | BLOCK           | ["injection-override-exfil", "injection-instruction-override", "injection-system-exfil"]                            | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:14:55 | PROMPT_BLOCKED      | BLOCK           | ["aws-access-key", "aws-credential-pair"]                                                                           | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:14:56 | PROMPT_SUBMITTED    | ALLOW           | ["stripe-key"]                                                                                                      | SENT_ALLOWED          | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
 21:14:56 | PROMPT_BLOCKED      | HOLD            | ["stripe-key"]                                                                                                      | BLOCKED_BEFORE_EGRESS | none               | web-ai-proxy | f      |                                                                                                                                                                 | high
(45 rows)

